Equipment Name,Type,Flowrate,Pressure,Temperature
Pump-A101,Centrifugal Pump,125.5,4.2,65.3
Pump-A102,Centrifugal Pump,142.8,4.5,68.1
Pump-B201,Positive Displacement Pump,85.2,6.8,72.5
Pump-B202,Positive Displacement Pump,92.4,7.1,74.2
Heat Exchanger-HX101,Shell and Tube,45.6,3.5,145.8
Heat Exchanger-HX102,Shell and Tube,52.3,3.8,152.4
Heat Exchanger-HX201,Plate,38.9,2.9,128.6
Reactor-R101,Batch Reactor,25.4,8.5,185.3
Reactor-R102,Batch Reactor,28.7,9.2,192.1
Reactor-R201,Continuous Reactor,35.2,7.8,175.6
Reactor-R202,Continuous Reactor,32.8,7.5,172.4
Compressor-C101,Centrifugal Compressor,185.6,12.5,85.4
Compressor-C102,Centrifugal Compressor,198.3,13.2,88.7
Compressor-C201,Reciprocating Compressor,142.5,18.6,95.2
Tank-T101,Storage Tank,0,1.2,45.8
Tank-T102,Storage Tank,0,1.1,43.2
Tank-T201,Mixing Tank,15.8,1.5,58.6
Tank-T202,Mixing Tank,18.2,1.6,61.3
Valve-V101,Control Valve,65.4,4.8,55.2
Valve-V102,Control Valve,72.8,5.1,57.8
Valve-V201,Butterfly Valve,95.6,3.2,52.4
Separator-S101,Gravity Separator,35.2,2.8,68.5
Separator-S102,Gravity Separator,38.7,3.1,71.2
Separator-S201,Centrifugal Separator,42.5,4.2,75.8
Column-D101,Distillation Column,28.6,2.5,125.4
Column-D102,Distillation Column,31.2,2.7,128.9
Column-A201,Absorption Column,22.4,3.2,98.6
Filter-F101,Bag Filter,18.5,2.1,52.3
Filter-F102,Cartridge Filter,15.2,1.9,49.8
Filter-F201,Press Filter,12.8,4.5,58.4
Dryer-D101,Rotary Dryer,8.5,1.8,185.6
Dryer-D102,Spray Dryer,6.2,1.5,195.3
Conveyor-CV101,Belt Conveyor,0,1.0,35.2
Conveyor-CV102,Screw Conveyor,0,1.1,38.5
Mill-M101,Ball Mill,3.2,2.5,68.4
Mill-M102,Hammer Mill,2.8,2.3,65.7
Crusher-CR101,Jaw Crusher,4.5,1.8,72.3
Crusher-CR102,Cone Crusher,5.2,2.1,75.8
Screen-SC101,Vibrating Screen,0,1.0,42.5
Screen-SC102,Rotary Screen,0,1.0,45.2
Agitator-AG101,Top Entry Agitator,12.5,1.9,68.4
Agitator-AG102,Side Entry Agitator,15.2,2.1,71.8
Blower-BL101,Centrifugal Blower,125.8,2.5,55.6
Blower-BL102,Positive Displacement Blower,98.5,3.2,58.9
Fan-FN101,Axial Fan,185.6,1.8,48.2
Fan-FN202,Centrifugal Fan,165.4,2.1,51.5
Cooler-CL101,Air Cooler,45.2,1.5,85.4
Cooler-CL202,Water Cooler,52.8,1.8,78.6
Boiler-BR101,Steam Boiler,25.6,10.5,185.4
Boiler-BR202,Hot Water Boiler,18.5,4.2,125.8
